DATE,USALORSGPNOSTSAM
1960-01-01,101.009477257879
1960-02-01,101.019802924687
1960-03-01,100.943976313769
1960-04-01,100.784465169713
1960-05-01,100.560222768576
1960-06-01,100.288812517375
1960-07-01,99.9732062657424
1960-08-01,99.6128718599168
1960-09-01,99.2176363772954
1960-10-01,98.8241782753034
1960-11-01,98.4792209715149
1960-12-01,98.2230094488014
1961-01-01,98.0696591935414
1961-02-01,98.0200352706906
1961-03-01,98.066621368987
1961-04-01,98.1904703260965
1961-05-01,98.3710478929201
1961-06-01,98.5901273930534
1961-07-01,98.831267225364
1961-08-01,99.0811186476781
1961-09-01,99.3287478521538
1961-10-01,99.5639002201822
1961-11-01,99.7765337081221
1961-12-01,99.9568107512845
1962-01-01,100.096279635249
1962-02-01,100.188144146738
1962-03-01,100.230051220268
1962-04-01,100.229868675096
1962-05-01,100.197458797007
1962-06-01,100.139180226108
1962-07-01,100.054468144864
1962-08-01,99.9407582753773
1962-09-01,99.7999914648173
1962-10-01,99.6468389166793
1962-11-01,99.5007490084901
1962-12-01,99.378802360499
1963-01-01,99.2879964882026
1963-02-01,99.2309448995327
1963-03-01,99.2090472481685
1963-04-01,99.2229783580948
1963-05-01,99.2712576273218
1963-06-01,99.345994239112
1963-07-01,99.4258932798986
1963-08-01,99.4888487849221
1963-09-01,99.5238233356364
1963-10-01,99.5435681113337
1963-11-01,99.5689748676603
1963-12-01,99.6143550962242
1964-01-01,99.6721768058946
1964-02-01,99.7253879125203
1964-03-01,99.7585138746281
1964-04-01,99.7687907801709
1964-05-01,99.7588355575977
1964-06-01,99.7308010568569
1964-07-01,99.6818690030044
1964-08-01,99.6106798071914
1964-09-01,99.5250602169691
1964-10-01,99.4511253527895
1964-11-01,99.4186448182621
1964-12-01,99.4457357801095
1965-01-01,99.5206225095675
1965-02-01,99.6211976011916
1965-03-01,99.730807643884
1965-04-01,99.852023369204
1965-05-01,99.9975485616048
1965-06-01,100.18024236044
1965-07-01,100.401311464788
1965-08-01,100.655402570299
1965-09-01,100.932783088976
1965-10-01,101.21901362557
1965-11-01,101.495459699229
1965-12-01,101.7390808393
1966-01-01,101.922882153374
1966-02-01,102.022482895121
1966-03-01,102.026968822313
1966-04-01,101.955577216286
1966-05-01,101.83885564184
1966-06-01,101.705416484034
1966-07-01,101.572340132143
1966-08-01,101.447583721041
1966-09-01,101.332586371827
1966-10-01,101.224474264483
1966-11-01,101.117368750372
1966-12-01,101.00341452214
1967-01-01,100.873957489541
1967-02-01,100.722896939842
1967-03-01,100.551334270509
1967-04-01,100.373918706917
1967-05-01,100.210272505293
1967-06-01,100.077239426184
1967-07-01,99.9805431131344
1967-08-01,99.922409938237
1967-09-01,99.9067143359057
1967-10-01,99.9415392181934
1967-11-01,100.035214365066
1967-12-01,100.188929994584
1968-01-01,100.385211276902
1968-02-01,100.598181174884
1968-03-01,100.80084747381
1968-04-01,100.971357763538
1968-05-01,101.093473702349
1968-06-01,101.159464078896
1968-07-01,101.176528897908
1968-08-01,101.159510507464
1968-09-01,101.12723712646
1968-10-01,101.101505749661
1968-11-01,101.099708140088
1968-12-01,101.127240256262
1969-01-01,101.168372474175
1969-02-01,101.199109395487
1969-03-01,101.199149287476
1969-04-01,101.16467833943
1969-05-01,101.098090434859
1969-06-01,101.000328745392
1969-07-01,100.865722064411
1969-08-01,100.68654617009
1969-09-01,100.460319925857
1969-10-01,100.200282510985
1969-11-01,99.9260006639347
1969-12-01,99.6566638465369
1970-01-01,99.4056905627774
1970-02-01,99.1820833128075
1970-03-01,98.9905832755116
1970-04-01,98.8299650561403
1970-05-01,98.6949014468102
1970-06-01,98.5756405135969
1970-07-01,98.4558920247388
1970-08-01,98.3250614391647
1970-09-01,98.19038774898
1970-10-01,98.089713968034
1970-11-01,98.0653007698767
1970-12-01,98.1354768771657
1971-01-01,98.2740671500279
1971-02-01,98.4304470645967
1971-03-01,98.5576933157909
1971-04-01,98.6394507974047
1971-05-01,98.6770374126893
1971-06-01,98.6795807356898
1971-07-01,98.6571800496915
1971-08-01,98.6221718950889
1971-09-01,98.5921177748318
1971-10-01,98.5936422042879
1971-11-01,98.6543966240787
1971-12-01,98.7928104868612
1972-01-01,99.0034784928235
1972-02-01,99.2685540060672
1972-03-01,99.5637094107351
1972-04-01,99.8600710063717
1972-05-01,100.133262420192
1972-06-01,100.372370147355
1972-07-01,100.590507557325
1972-08-01,100.811814929524
1972-09-01,101.059782968152
1972-10-01,101.34524078537
1972-11-01,101.667394589543
1972-12-01,102.01204412284
1973-01-01,102.347003339057
1973-02-01,102.632944293807
1973-03-01,102.835099673377
1973-04-01,102.938598876968
1973-05-01,102.942035072028
1973-06-01,102.857886895572
1973-07-01,102.719914911737
1973-08-01,102.56326384631
1973-09-01,102.40870922922
1973-10-01,102.248599617285
1973-11-01,102.063515738719
1973-12-01,101.839207861034
1974-01-01,101.585131316006
1974-02-01,101.318476751448
1974-03-01,101.050590386287
1974-04-01,100.774595888791
1974-05-01,100.475877579064
1974-06-01,100.143029709909
1974-07-01,99.78025373913
1974-08-01,99.3981265003777
1974-09-01,99.0066877624322
1974-10-01,98.6100944731552
1974-11-01,98.2133245998575
1974-12-01,97.8291089989145
1975-01-01,97.4847316875637
1975-02-01,97.2116565322163
1975-03-01,97.032611439341
1975-04-01,96.957189912418
1975-05-01,96.9814175300872
1975-06-01,97.0929917209539
1975-07-01,97.2690087006062
1975-08-01,97.4866466004647
1975-09-01,97.729022045231
1975-10-01,97.9878994799764
1975-11-01,98.2577995840018
1975-12-01,98.5286079913512
